rsid chrom pos Fst
rs3737576 1 101709563 0.44
rs7554936 1 151122489 0.39
rs2814778 1 159174683 0.82
rs798443 2 7968275 0.34
rs1876482 2 17362568 0.75
rs1834619 2 17901485 0.50
rs3827760 2 109513601 0.71
rs260690 2 109579738 0.49
rs6754311 2 136707982 0.41
rs10497191 2 158667217 0.54
rs12498138 3 121459589 0.48
rs4833103 4 38815502 0.37
rs1229984 4 100239319 0.43
rs3811801 4 100244319 0.45
rs7657799 4 105375423 0.44
rs16891982 5 33951693 0.69
rs7722456 5 170202984 0.20
rs870347 6 6845035 0.35
rs3823159 6 136482727 0.50
rs192655 7 90518278 0.21
rs917115 8 28172586 0.35
rs1462906 8 31896592 0.54
rs6990312 8 110602317 0.34
rs2196051 8 122124302 0.43
rs1871534 8 145639681 0.48
rs3814134 9 127267689 0.47
rs4918664 10 94921065 0.53
rs174570 11 61597212 0.51
rs1079597 11 113296286 0.16
rs2238151 12 112211833 0.36
rs671 12 112241766 0.22
rs7997709 13 34847737 0.37
rs1572018 13 41715282 0.41
rs2166624 13 42579985 0.30
rs7326934 13 49070512 0.54
rs9522149 13 111827167 0.44
rs200354 14 99375321 0.32
rs1800414 15 28197037 0.57
rs12913832 15 28365618 0.52
rs12439433 15 36220035 0.39
rs735480 15 45152371 0.39
rs1426654 15 48426484 0.73
rs459920 16 89730827 0.24
rs4411548 17 40658533 0.14
rs2593595 17 41056245 0.47
rs17642714 17 48726132 0.18
rs4471745 17 53568884 0.27
rs11652805 17 62987151 0.39
rs2042762 18 35277622 0.43
rs7226659 18 40488279 0.40
rs3916235 18 67578931 0.63
rs4891825 18 67867663 0.53
rs7251928 19 4077096 0.47
rs310644 20 62159504 0.58
rs2024566 22 41697338 0.31
